"","logFC","logCPM","PValue","FDR"
"YDR398W",1.92786514104016,5.75670449375576,3.03981025008062e-07,2.60327356498707e-05
"YHR088W",1.75885037012603,5.79235085461093,3.27416784089019e-07,2.7587504517436e-05
"YOR272W",1.84420723887311,5.81199226155809,3.69659205085761e-07,3.01734326151252e-05
"YDR465C",1.52604752791105,6.10978546361063,3.87474043541594e-07,3.0768670679709e-05
"YHR072W-A",1.51782396499815,6.12866867958918,3.88731291129555e-07,3.0768670679709e-05
"YGL120C",1.96964259726953,6.45219915863518,4.15078787838536e-07,3.23095044246975e-05
"YML093W",1.47904252916657,6.72248168940773,4.71053032077772e-07,3.56634933271635e-05
"YER002W",1.48960328409905,6.13421455386175,5.05858731899025e-07,3.72198030343733e-05
"YJL050W",1.57374287268251,6.83275617300439,5.94043094366504e-07,4.3101126735703e-05
"YDL060W",1.53186971183184,6.13414649560571,6.42772531982711e-07,4.53762663118605e-05
"YGL078C",1.71487300604943,6.95874299370299,6.93277158410447e-07,4.8289065007149e-05
"YPL012W",1.8305432783542,6.28308371173926,8.00876106916719e-07,5.48856638205343e-05
"YBR142W",1.59634522039235,6.70009903377302,9.60915384074524e-07,6.43566918769912e-05
"YHR197W",1.6251169037892,5.54239988540083,9.90058486802047e-07,6.54691839880239e-05
"YKR093W",1.4843369886683,6.2748941693886,1.00562692979224e-06,6.5667438515433e-05
"YMR049C",1.72264110735334,6.96581933058761,1.02007737931329e-06,6.57886941917608e-05
"YDL153C",1.6260938577033,7.09660341582569,1.11406072938479e-06,7.08031402120981e-05
"YPL266W",1.58144932862192,6.12835583117182,1.12493503782621e-06,7.08031402120981e-05
"YPR112C",1.47721390295534,6.45604813638818,1.21335577679079e-06,7.46532782849928e-05
"YNL002C",1.34975119744732,6.69568931778443,1.28391101298246e-06,7.79901294397717e-05
"YLR401C",1.48126647011334,6.19873779552941,1.68866379150223e-06,9.69404356792047e-05
"YOR310C",1.61064522597639,7.97026280683593,1.93485413723811e-06,0.000108684709816472
"YGR145W",1.41410295897742,6.69774104597698,2.00490692096295e-06,0.000110248776369584
"YLR409C",1.87276189208865,6.3899994570911,2.24380230230729e-06,0.000122024667466815
"YPL226W",1.33883269819757,7.37740628419082,2.26782885023312e-06,0.000122024667466815
"YPL263C",1.36628170669359,6.78814398968352,2.28913043869599e-06,0.000122024667466815
"YCL059C",1.31462948965722,6.45611283582897,2.93990851804729e-06,0.000153580820982791
"YCL054W",1.65392940115199,6.42355386541969,3.24413270934995e-06,0.000167795537362813
"YKR081C",1.55893130672392,5.64922008178072,3.43385839247193e-06,0.000174159963517217
"YPL093W",1.66020382079619,6.55874992481469,3.48211998674758e-06,0.000174909565488167
"YGR200C",1.41913593854501,6.77218810345435,3.63473029641578e-06,0.000179130481778076
"YGR123C",1.54205625812581,5.93419221179148,3.87703747278472e-06,0.000187533738498402
