conA_rep1.sam	conA_rep2.sam	conB_rep1.sam	conB_rep2.sam
YNCF0012C	0	0	0	0
YFR029W	57	28	30	51
YFR030W	732	47	33	75
YFR031C	93	65	56	105
YFR031C-A	396	909	1633	2367
YNCF0013W	0	0	0	1
YFR032C	0	0	2	1
YFR032C-A	138	236	395	489
YFR032C-B	0	0	0	0
YFR033C	773	759	543	694
YFR034C	50	46	37	74
YFR035C	11	10	13	16
YNCF0014C	0	0	0	0
YFR036W	7	8	3	5
YFR037C	175	177	149	207
YFR038W	82	56	57	88
YFR039C	54	52	47	49
YFR040W	198	183	104	161
YFR041C	51	50	43	45
YFR042W	25	11	16	14
YFR043C	27	19	21	32
YFR044C	273	238	166	232
YFR045W	27	45	14	25
YFR046C	20	14	20	21
YFR047C	110	235	94	101
YFR048W	41	30	26	56
YFR049W	92	88	45	64
YFR050C	252	264	172	246
YFR051C	201	226	146	194
YFR052W	168	106	84	121
YFR053C	6777	4949	1859	1873
YFR054C	2	2	1	7
YFR055W	12	36	13	40
YFR057W	0	0	0	2
YGL263W	8	1	2	12
YGL262W	7	1	4	4
YGL261C	1	0	0	0
YGL260W	0	0	1	0
YGL259W	4	4	5	8
YGL258W-A	4	4	5	1
YGL258W	1	4	2	3
YGL257C	43	38	41	59
YGL256W	45	30	41	53
YGL255W	13	34	22	46
YGL254W	29	14	23	19
YGL253W	367	785	555	778
YGL252C	119	178	91	174
YGL251C	37	23	26	38
YGL250W	38	35	26	29
YGL249W	2	0	1	1
YNCG0001C	0	0	0	0
YGL248W	98	98	51	71
YGL247W	17	9	17	20
YGL246C	18	19	31	60
YGL245W	375	615	467	669
YGL244W	132	136	109	167
YGL243W	29	14	10	26
YGL242C	37	42	20	29
YGL241W	31	54	40	50
YGL240W	10	10	8	10
YGL238W	117	112	109	144
YGL237C	39	40	31	37
YGL236C	26	21	13	22
YGL235W	0	0	0	0
YGL234W	419	1140	981	1343
YGL233W	81	73	65	94
YGL232W	43	44	36	73
YGL231C	56	54	49	75
YGL230C	2	0	0	5
YGL229C	48	70	25	29
YGL228W	194	146	109	172
YGL227W	199	195	103	133
YGL226C-A	28	27	27	43
YGL226W	27	28	15	20
YNCG0002C	0	0	0	1
YGL225W	98	94	126	164
YGL224C	35	90	29	26
YGL223C	52	37	30	51
YGL222C	33	30	37	41
YGL221C	111	110	60	81
YGL220W	38	47	34	56
YGL219C	86	99	44	76
YGL216W	73	28	29	57
YGL215W	116	121	115	176
YGL213C	60	50	50	55
YGL212W	18	12	20	23
YGL211W	38	22	43	49
YGL210W	28	23	34	58
YGL209W	26	20	44	46
YGL208W	74	41	15	22
YGL207W	259	312	250	374
YGL206C	446	376	321	358
YGL205W	33	13	20	9
YNCG0003C	0	1	1	0
YGL204C	4	10	12	10
YGL203C	119	110	80	106
YNCG0004W	0	0	0	0
YGL202W	171	868	188	288
YGL201C	66	72	65	98
YNCG0005W	0	0	0	0
YGL200C	172	136	132	171
YGL198W	102	100	50	91
YGL197W	270	188	155	197
YGL196W	117	98	56	68
YGL195W	180	184	205	303
YGL194C-A	5	7	9	6
YGL194C	32	13	19	24
YNCG0006C	1	0	0	0
YGL193C	0	0	0	0
YGL192W	0	0	0	0
YGL191W	267	268	171	240
YGL190C	155	123	102	107
YGL189C	391	758	1016	1444
YGL188C-A	0	0	1	2
YGL187C	251	197	140	207
YGL186C	94	132	71	99
YGL185C	29	24	18	34
YGL184C	73	10	6	7
YGL183C	2	1	1	1
YGL181W	141	99	95	96
YGL180W	60	40	33	36
YGL179C	13	14	13	21
YGL178W	47	64	56	65
YGL176C	20	13	12	24
YGL175C	12	5	9	11
YGL174W	16	12	13	28
YGL173C	412	413	289	385
YGL172W	71	81	72	95
YGL171W	20	20	31	50
YGL170C	0	0	1	2
YNCG0007C	0	0	0	0
YGL169W	18	21	25	42
YGL168W	5	7	2	7
YGL167C	113	102	107	139
YGL166W	27	24	24	34
YGL164C	56	42	41	64
YGL163C	105	46	41	64
YGL162W	6	20	20	31
YGL161C	116	122	94	127
YGL160W	100	74	64	107
YGL159W	35	39	27	27
YNCG0008W	0	0	0	1
YGL158W	4	3	6	4
YGL157W	69	57	40	72
YGL156W	241	152	42	66
YGL155W	33	34	40	50
YGL154C	37	26	16	35
YGL153W	55	50	44	37
YGL151W	109	80	71	105
YGL150C	173	163	146	221
YGL149W	0	1	3	1
YGL148W	80	512	154	235
YGL147C	245	472	1096	1653
YGL146C	32	18	13	12
YGL145W	31	31	31	63
YGL144C	13	10	9	17
YGL143C	44	46	20	28
YGL142C	54	46	31	41
YGL141W	107	91	72	90
YGL140C	180	155	120	167
YGL139W	81	73	62	76
YGL138C	0	0	0	0
YGL137W	348	384	302	420
YGL136C	45	33	23	40
YGL135W	399	672	1284	2006
YGL134W	32	18	23	35
YGL133W	75	71	83	93
YGL131C	88	57	50	66
YGL130W	83	73	62	63
YGL129C	80	74	50	48
YGL128C	18	11	12	14
YGL127C	22	14	11	12
YGL126W	62	75	50	67
YGL125W	185	142	46	64
YGL124C	44	34	27	48
YGL123W	659	1382	2451	4029
YGL122C	153	138	104	154
YGL121C	44	27	6	3
YGL120C	18	36	75	130
YGL119W	49	34	34	38
YNCG0009C	0	0	0	0
YGL118C	1	0	0	0
YGL117W	10	182	9	14
YGL116W	48	37	44	43
YGL115W	101	102	68	96
YGL114W	80	83	53	84
YGL113W	19	8	16	19
YGL112C	89	83	62	87
YGL111W	58	58	76	146
YGL110C	45	47	51	55
YGL108C	18	16	15	25
YGL107C	56	56	38	59
YGL106W	91	90	87	104
YGL105W	233	378	314	453
YGL104C	60	42	28	37
YGL103W	674	1055	1552	2368
YGL101W	35	23	37	44
YGL100W	78	79	65	93
YGL099W	19	28	58	106
YNCG0010W	1	0	7	7
YGL098W	30	41	17	39
YNCG0011W	0	0	0	0
YGL097W	94	105	73	137
YGL096W	87	70	41	59
YNCG0012W	2	0	1	1
YGL095C	103	70	41	70
YGL094C	77	74	41	92
YGL093W	122	101	76	97
YGL092W	99	128	108	193
YGL091C	42	49	35	66
YGL090W	20	13	9	26
YGL089C	3	3	2	8
YGL088W	0	0	0	0
YNCG0013W	1	0	0	0
YGL087C	60	49	43	40
YGL086W	69	49	57	82
YGL085W	21	33	15	25
YGL084C	99	82	67	82
YGL083W	46	35	23	56
YGL082W	105	97	68	97
YGL081W	10	10	8	9
YGL080W	31	27	31	35
YGL079W	29	12	23	24
YGL078C	34	55	102	181
YGL077C	157	166	180	285
YGL076C	317	622	1141	1808
YNCG0014C	1	0	0	1
YNCG0015C	0	0	1	2
YGL075C	22	12	10	21
YGL073W	144	109	93	131
YGL071W	47	40	48	52
YGL070C	13	17	21	37
YGL068W	73	76	46	54
YGL067W	48	52	39	63
YGL066W	63	75	51	74
YGL065C	65	63	51	72
YGL064C	16	17	5	15
YGL063W	17	18	14	14
YGL062W	808	983	528	768
YGL061C	12	14	15	20
YGL060W	44	23	30	45
YGL059W	60	58	29	41
YGL058W	27	23	27	35
YGL057C	12	20	7	15
YGL056C	39	40	39	56
YGL055W	488	340	198	323
YGL054C	74	73	69	107
YNCG0016C	0	0	0	0
YGL053W	61	64	28	35
YGL051W	12	13	6	12
YNCG0017W	0	0	0	0
YGL050W	18	26	32	36
YGL049C	148	159	133	186
YGL048C	300	326	177	248
YGL047W	43	45	38	32
YNCG0018C	0	0	0	0
YGL045W	58	35	26	48
YGL044C	41	30	36	53
YGL043W	51	60	68	102
YGL041C-B	0	0	0	0
YGL041W-A	31	25	26	23
YGL040C	129	160	101	119
YNCG0019W	0	0	0	0
YGL039W	29	42	20	38
YGL038C	70	50	40	43
YGL037C	1035	1030	535	659
YGL036W	126	132	123	127
YGL035C	176	163	122	196
YGL034C	2	2	0	0
YGL033W	1	1	0	2
YGL032C	12	31	14	19
YGL031C	301	671	934	1454
YGL030W	262	593	983	1393
YGL029W	1	2	16	22
YNCG0020C	0	0	0	0
YGL028C	104	66	50	60
YGL027C	112	108	76	123
YGL026C	181	531	154	187
YGL025C	49	27	34	45
YGL023C	133	84	99	122
YGL022W	266	278	237	324
YGL021W	79	49	51	78
YGL020C	56	50	45	56
YGL019W	102	107	90	150
YGL018C	16	13	12	17
YGL017W	26	26	31	40
YGL016W	27	28	35	46
YGL015C	2	1	0	0
YGL014W	83	93	74	93
YGL013C	106	99	63	97
YGL012W	291	292	260	366
YGL011C	284	265	182	215
YGL010W	28	17	13	12
YGL009C	908	2582	1114	1799
YGL008C	2499	2728	2642	4209
YGL007C-A	1	0	2	0
YGL007W	1	2	1	1
YGL006W-A	3	2	1	1
YGL006W	392	359	225	267
YGL005C	58	44	33	56
YGL004C	65	39	32	46
YGL003C	57	47	36	47
YGL002W	49	43	15	46
YGL001C	125	183	131	173
YGR001C	51	80	54	76
YGR002C	60	47	27	43
YGR003W	40	25	27	46
YGR004W	18	12	12	26
YGR005C	113	100	76	108
YGR006W	9	12	5	8
YGR007W	57	41	51	62
YGR008C	593	488	223	290
YGR009C	125	132	98	139
YGR010W	43	40	32	28
YGR012W	50	41	37	56
YGR013W	70	62	63	82
YGR014W	131	101	81	107
YGR015C	21	10	13	20
YGR016W	7	3	2	2
YGR017W	38	65	17	38
YGR018C	2	4	1	5
YGR019W	194	171	101	85
YGR020C	102	115	95	153
YGR021W	58	41	21	22
YGR023W	60	43	44	66
YNCG0021W	0	0	0	0
YGR024C	46	43	40	66
YGR025W	0	0	0	0
YGR026W	132	120	63	95
YGR027C	278	582	838	1180
YGR027W-B	190	404	181	258
YGR027W-A	0	0	0	0
YNCG0022W	0	0	0	0
YGR028W	63	35	23	34
YGR029W	35	62	22	39
YNCG0023C	0	0	0	0
YNCG0024W	0	1	3	9
YGR030C	8	10	7	12
YGR031W	40	24	28	39
YGR031C-A	0	0	0	0
YGR032W	155	139	85	111
YGR033C	76	42	46	63
YGR034W	179	369	685	1025
YGR035C	2	1	0	2
YGR035W-A	5	4	2	6
YGR036C	15	8	14	9
YGR037C	108	165	85	86
YGR038W	43	45	32	49
YNCG0025C	0	0	0	0
YGR038C-B	161	401	165	260
YGR038C-A	0	0	0	0
YGR039W	1	1	4	3
YGR040W	26	29	24	46
YGR041W	49	28	28	46
YGR042W	27	13	18	10
YGR043C	70	89	16	23
YGR044C	41	89	28	33
YGR045C	1	0	1	1
YGR046W	58	57	35	53
YGR047C	57	26	34	43
YGR048W	98	69	43	71
YGR049W	51	43	48	73
YGR050C	8	2	6	8
YGR052W	78	67	82	68
YGR053C	10	10	6	11
YGR054W	97	133	125	199
YGR055W	170	40	88	110
YGR056W	56	38	37	61
YGR057C	23	12	11	22
YGR058W	17	23	18	22
YGR059W	6	3	1	1
YNCG0026W	0	2	1	2
YGR060W	246	411	370	563
YGR061C	369	996	792	1008
YGR062C	32	24	15	23
YGR063C	15	27	21	22
YGR065C	21	25	12	21
YGR066C	10	5	6	3
YGR067C	56	27	26	18
YGR068C	27	26	20	39
YGR070W	164	134	128	123
YGR071C	43	23	27	33
YGR072W	49	30	41	61
YGR074W	15	10	20	26
YGR075C	19	13	22	20
YGR076C	30	32	22	22
YGR077C	53	49	43	49
YGR078C	24	38	36	68
YGR079W	8	3	2	6
YGR080W	103	113	56	86
YGR081C	7	3	11	25
YGR082W	55	64	29	55
YGR083C	86	88	92	146
YGR084C	43	44	20	28
YGR085C	226	452	625	982
YGR086C	1452	1239	747	985
YGR087C	76	7	4	2
YGR088W	268	235	118	147
YGR089W	67	54	59	82
YNCG0027W	0	0	0	0
YGR090W	46	30	83	164
YGR091W	28	22	30	29
YGR092W	83	116	50	98
YGR093W	29	26	17	43
YGR094W	326	840	551	908
YGR095C	23	31	29	57
YGR096W	20	25	13	14
YGR097W	148	235	140	171
YGR098C	67	57	53	69
YGR099W	54	27	31	37
YGR100W	136	106	78	112
YGR101W	44	32	30	37
YGR102C	58	32	16	34
YGR103W	79	136	176	285
YGR104C	44	21	29	39
YGR105W	42	40	34	54
YGR106C	155	218	134	207
YNCG0028W	0	0	0	0
YNCG0029C	1	0	0	0
YGR108W	41	37	33	44
YGR109C	4	6	3	2
YNCG0030C	0	0	0	0
YGR109W-B	58	43	50	52
YGR109W-A	0	0	0	0
YGR110W	45	49	21	24
YGR111W	153	92	58	64
YGR112W	44	47	23	40
YGR113W	44	33	33	41
YGR116W	214	247	211	282
YGR117C	42	46	37	75
YGR118W	267	504	753	1181
YGR119C	113	102	98	137
YGR120C	30	16	21	37
YNCG0031W	0	0	0	0
YGR121C	235	185	77	104
YGR121W-A	1	0	1	2
YGR122W	54	39	33	51
YNCG0032W	0	0	0	0
YGR123C	18	29	55	75
YNCG0033W	0	0	0	0
YGR124W	159	713	276	354
YGR125W	203	110	84	134
YGR126W	5	8	6	4
YGR127W	74	67	47	75
YGR128C	38	19	55	94
YGR129W	21	13	16	11
YGR130C	670	597	400	479
YGR131W	5	2	1	5
YGR132C	206	208	108	115
YGR133W	18	10	17	15
YGR134W	36	33	38	51
YGR135W	226	252	164	184
YGR136W	141	140	104	153
YGR138C	35	56	59	96
YGR140W	27	17	31	42
YGR141W	107	83	55	60
YGR142W	259	211	164	361
YNCG0034W	0	0	0	0
YGR143W	156	113	88	124
YNCG0035W	0	0	0	0
YGR144W	3	1	0	4
YGR145W	41	46	80	143
YGR146C	37	36	37	68
YGR146C-A	2	0	3	2
YGR147C	57	72	45	76
YGR148C	270	690	967	1423
YGR149W	103	82	54	72
YGR150C	32	41	30	44
YNCG0036W	1	0	0	0
YGR152C	34	29	29	51
YGR153W	7	1	2	6
YGR154C	24	7	4	13
YGR155W	211	143	147	222
YGR156W	34	27	32	57
YGR157W	426	351	134	232
YGR158C	14	17	25	52
YGR159C	22	19	100	215
YGR161C	64	55	49	92
YGR161W-C	17	16	14	16
YGR161W-B	58	71	46	58
YGR161W-A	0	0	0	0
YGR161C-D	118	268	128	156
YGR161C-C	0	0	0	0
YNCG0037W	0	0	0	0
YGR162W	150	227	334	524
YGR163W	88	46	48	74
YGR164W	0	0	0	0
YNCG0038C	0	0	0	0
YGR165W	58	68	29	60
YGR166W	35	28	25	43
YGR167W	211	211	118	184
YGR168C	22	13	5	26
YGR169C	11	13	18	21
YGR169C-A	27	29	31	62
YGR170W	116	100	83	96
YGR171C	46	25	14	22
YGR172C	37	39	47	63
YGR173W	29	17	39	99
YNCG0039W	0	0	0	0
YGR174C	102	64	33	34
YGR174W-A	7	5	0	4
YGR175C	181	312	341	506
YGR177C	8	9	21	34
YGR178C	343	295	244	315
YGR179C	34	23	22	27
YGR180C	334	512	291	414
YNCG0040C	1	0	0	1
YGR181W	29	25	28	27
YGR183C	178	158	99	127
YGR184C	214	167	101	138
YGR185C	110	315	241	355
YGR186W	239	242	158	250
YGR187C	8	14	20	31
YGR188C	13	3	5	14
YNCG0041W	0	0	0	0
YGR189C	163	265	229	329
YNCG0042C	0	0	0	0
YGR191W	92	132	103	143
YGR192C	11882	17755	7291	9944
YGR193C	159	129	85	129
YGR194C	245	190	96	103
YGR195W	30	31	26	54
YGR196C	56	56	41	55
YGR197C	39	41	23	24
YGR198W	71	40	55	90
YGR199W	75	60	53	75
YGR200C	54	38	83	153
YGR201C	71	20	13	14
YGR202C	58	73	44	67
YGR203W	37	24	19	31
YGR204W	571	988	591	798
YGR204C-A	2	1	2	2
YGR205W	97	115	46	48
YGR206W	16	13	6	15
YGR207C	109	108	82	103
YGR208W	21	49	71	86
YGR209C	214	189	79	86
YGR210C	83	82	88	132
YGR211W	86	125	92	179
YGR212W	23	11	18	18
YGR213C	9	9	8	3
YGR214W	205	495	806	1221
YGR215W	27	25	10	16
YGR216C	29	29	26	41
YGR217W	48	30	36	50
YNCG0043C	0	0	0	0
YGR218W	251	249	173	276
YGR220C	53	56	28	42
YGR221C	29	16	12	16
YNCG0044C	0	0	0	1
YNCG0045C	0	0	0	0
YGR222W	25	27	23	23
YGR223C	75	67	31	54
YGR224W	34	19	21	17
YGR225W	4	5	5	10
YGR227W	50	35	34	39
YGR227C-A	3	2	3	1
YGR229C	118	123	95	138
YGR230W	14	6	7	12
YGR231C	197	169	106	129
YGR232W	34	57	22	49
YGR233C	53	62	50	79
YGR234W	538	1406	941	1526
YGR235C	86	118	57	79
YGR236C	14	5	3	4
YGR237C	139	114	91	130
YGR238C	61	48	45	48
YGR239C	26	19	13	30
YGR240C	860	1068	726	1046
YGR240C-A	6	2	7	6
YGR241C	99	95	83	128
YGR243W	109	56	100	80
YGR244C	454	366	166	170
YGR245C	43	34	92	174
YGR246C	79	46	48	87
YGR247W	63	38	23	31
YGR248W	493	283	149	173
YGR249W	39	26	60	80
YGR250C	228	282	188	322
YGR251W	10	4	16	23
YGR252W	76	51	55	76
YGR253C	269	247	132	206
YGR254W	2914	2866	1022	1369
YGR255C	133	108	76	80
YNCG0046W	0	0	0	0
YGR256W	126	66	16	26
YGR257C	40	55	26	42
YGR258C	92	78	57	79
YGR260W	170	215	175	294
YGR261C	95	105	105	136
YGR262C	26	22	24	33
YGR263C	18	15	9	16
YGR264C	94	173	182	346
YGR266W	152	122	93	156
YGR267C	112	179	77	111
YGR268C	40	59	25	36
YGR270W	217	160	150	215
YGR271W	104	65	95	89
YGR271C-A	10	7	20	39
YGR273C	0	0	1	1
YGR274C	56	54	63	56
YGR275W	30	30	19	33
YGR276C	62	52	44	52
YGR277C	39	47	43	53
YGR278W	19	22	27	22
YGR279C	497	482	438	627
YGR280C	40	17	42	104
YGR281W	137	118	80	88
YGR282C	778	785	554	792
YGR283C	17	19	31	37
YGR284C	136	130	70	90
YGR285C	157	335	307	482
YGR286C	57	27	36	42
YGR287C	184	138	90	156
YGR288W	23	33	21	21
YGR289C	1896	1238	462	840
YGR292W	1681	1107	423	740
YGR294W	1	0	0	2
YGR295C	224	177	119	175
YGR296W	176	90	79	109
YHL050C	62	45	39	51
YHL049C	3	0	2	5
YHL048C-A	0	0	0	0
YHL048W	2	9	5	3
YHL047C	0	0	0	0
YHL046C	0	0	0	0
YHL045W	0	0	1	0
YHL044W	0	0	0	3
YHL043W	8	10	7	15
YHL042W	3	5	5	3
YHL041W	0	0	0	0
YHL040C	28	23	19	32
YHL039W	39	34	29	56
YHL038C	45	37	34	42
YHL037C	0	0	0	0
YHL036W	46	14	28	35
YHL035C	73	76	49	63
YHL034C	477	462	274	353
YHL033C	159	455	495	832
YHL032C	265	153	95	147
YHL031C	60	49	43	48
YHL030W	174	146	98	133
YHL029C	31	17	25	43
YHL028W	16	12	12	16
YHL027W	136	82	86	122
YHL026C	16	2	6	21
YHL025W	103	77	85	79
YHL024W	118	74	50	58
YHL023C	69	61	52	66
YNCH0001W	0	0	0	0
YHL022C	5	3	3	5
YHL021C	1122	1276	776	859
YHL020C	74	32	47	61
YHL019C	52	65	37	54
YHL018W	5	4	2	1
YHL017W	57	55	26	80
YHL016C	37	38	11	12
YHL015W-A	4	1	2	2
YHL015W	380	954	1344	2011
YHL014C	16	13	10	21
YHL013C	16	15	20	29
YHL012W	8	6	2	3
YHL011C	46	75	107	159
YHL010C	52	37	26	43
YHL009C	25	30	17	44
YNCH0002C	0	0	0	0
YHL009W-B	8	6	5	14
YHL009W-A	0	0	0	0
YHL008C	29	23	18	9
YHL007C	69	63	79	130
YHL006C	6	2	4	3
YHL005C	0	0	0	0
YHL004W	70	58	34	49
YHL003C	88	92	67	119
YHL002W	87	82	58	69
YHL001W	73	187	305	448
YHR001W	122	91	64	84
YHR001W-A	129	149	103	130
YHR002W	29	23	24	33
YHR003C	55	54	58	109
YHR004C	58	29	32	50
YHR005C	44	62	67	79
YHR005C-A	63	96	59	65
YNCH0003C	0	0	1	1
YHR006W	118	56	52	83
YHR007C	353	488	560	830
YHR007C-A	16	24	11	11
YHR008C	575	552	281	319
YHR009C	208	189	119	152
YHR010W	286	550	1036	1489
YHR011W	33	34	20	21
YHR012W	72	61	45	71
YHR013C	37	59	53	86
YHR014W	1	4	3	5
YNCH0004C	0	0	0	0
YNCH0005W	0	0	0	0
YHR015W	7	2	2	3
YHR016C	248	228	144	161
YHR017W	82	96	69	81
YHR018C	102	527	26	50
YHR019C	201	624	374	549
YHR020W	139	256	287	502
YNCH0006C	0	0	0	0
YHR021C	138	274	449	640
YHR021W-A	0	0	4	8
YHR022C	1	0	5	7
YHR022C-A	0	0	0	0
YHR023W	88	72	86	106
YHR024C	92	107	50	86
YHR025W	119	286	182	277
YHR026W	125	154	131	192
YHR027C	568	702	412	573
YHR028C	274	240	148	190
YHR029C	46	198	20	22
YHR030C	107	138	125	173
YHR031C	66	25	36	50
YHR032W	67	38	58	94
YHR033W	21	14	13	25
YHR034C	48	28	32	29
YHR035W	8	6	7	10
YHR036W	21	17	20	24
YHR037W	264	277	136	152
YHR038W	19	26	15	19
YHR039C	201	197	171	222
YHR039C-A	131	173	100	173
YHR040W	23	8	26	46
YHR041C	41	29	27	53
YHR042W	182	215	209	321
YHR043C	89	106	61	71
YHR044C	22	12	6	10
YHR045W	39	42	43	65
YHR046C	10	19	8	33
YHR047C	82	136	70	132
YHR048W	29	10	13	21
YHR049W	37	36	24	47
YHR050W	101	89	63	100
YHR050W-A	0	4	3	6
YHR051W	262	267	184	248
YHR052W	20	13	29	67
YNCH0007W	355	193	234	449
YHR052C-B	0	0	0	0
YHR053C	0	0	0	0
YHR054C	20	24	25	32
YNCH0008W	351	194	248	454
YHR054C-B	0	0	0	0
YHR055C	0	0	0	0
YHR056C	93	59	62	87
YHR057C	152	107	75	105
YHR058C	27	10	20	26
YHR059W	24	22	10	17
YHR060W	27	28	23	31
YHR061C	20	7	5	16
YHR062C	24	23	17	32
YHR063C	76	83	45	88
YHR064C	187	389	375	583
YHR065C	39	25	56	112
YHR066W	20	2	11	41
YHR067W	40	24	23	27
YHR068W	62	128	124	196
YHR069C	33	24	33	41
YHR070W	31	22	20	68
YHR071W	43	173	20	38
YNCH0009C	0	1	0	0
YHR072W	160	149	159	247
YHR072W-A	26	29	59	91
YHR073W	173	137	106	158
YHR074W	203	204	151	227
YHR075C	34	30	16	19
YHR076W	71	59	43	60
YHR077C	87	76	108	140
YHR078W	62	55	56	86
YHR079C	67	57	44	66
YHR079C-A	0	0	3	0
YHR080C	112	84	72	91
YHR081W	16	28	24	36
YHR082C	255	284	156	212
YHR083W	91	91	67	85
YHR084W	45	50	48	71
YHR085W	10	5	10	14
YHR086W	77	52	38	41
YHR086W-A	0	1	0	2
YHR087W	909	777	318	416
YHR088W	17	21	43	81
YHR089C	33	108	179	347
YHR090C	29	20	15	28
YHR091C	38	36	24	35
YHR092C	1119	1553	1934	2480
YHR093W	0	0	0	0
YHR094C	11	11	21	31
YHR096C	144	59	39	43
YHR097C	179	170	86	96
YHR098C	213	176	149	237
YHR099W	100	86	77	121
YHR100C	30	18	20	32
YHR101C	15	22	18	22
YHR102W	87	67	46	69
YHR103W	156	147	105	144
YHR104W	373	312	94	171
YHR105W	18	12	8	13
YHR106W	98	67	41	47
YHR107C	83	87	53	108
YHR108W	169	146	122	173
YHR109W	20	11	10	9
YHR110W	88	71	56	54
YHR111W	68	56	42	62
YHR112C	125	69	48	39
YHR113W	136	120	59	101
YHR114W	88	84	56	78
YHR115C	110	56	79	102
YHR116W	13	10	9	10
YHR117W	93	74	64	112
YHR118C	24	26	22	25
YHR119W	80	38	58	88
YHR120W	26	22	17	33
YHR121W	56	74	42	76
YHR122W	36	44	20	32
YHR123W	49	47	48	56
YHR124W	15	12	7	15
YNCH0010C	0	0	0	0
YHR125W	1	0	0	0
YHR126C	0	0	0	1
YHR127W	21	18	16	15
YHR128W	17	34	55	81
YHR129C	26	15	13	20
YHR130C	3	4	1	5
YHR131C	57	39	29	61
YHR132C	148	147	98	158
YHR132W-A	50	45	28	30
YHR133C	38	35	39	99
YHR134W	20	7	17	22
YHR135C	158	133	123	177
YHR136C	5	4	8	20
YHR137W	10	45	5	9
YHR138C	77	71	14	35
YHR139C	0	0	0	0
YNCH0011W	1	0	0	0
YHR139C-A	3	2	1	1
YHR140W	5	2	1	2
YNCH0012W	0	1	2	0
YHR141C	206	380	647	920
YHR142W	63	55	80	84
YHR143W	211	225	157	271
YHR143W-A	12	13	14	19
YHR144C	5	9	5	12
YNCH0013C	0	0	0	0
YHR146W	238	173	136	171
YHR147C	49	67	28	34
YHR148W	2	6	7	31
YHR149C	37	11	19	23
YHR150W	40	31	11	22
YHR151C	20	12	18	19
YHR152W	29	35	35	42
YHR153C	3	1	5	2
YHR154W	56	43	44	60
YHR155W	72	54	56	77
YNCH0014W	3	0	1	2
YHR156C	17	14	21	24
YHR157W	1	4	3	1
YHR158C	113	115	77	81
YHR159W	53	39	24	18
YHR160C	16	7	3	6
YHR161C	230	224	140	167
YHR162W	282	627	338	445
YHR163W	179	158	89	142
YHR164C	65	45	46	66
YHR165C	117	115	104	146
YHR166C	37	34	25	46
YHR167W	8	6	4	15
YHR168W	30	23	18	26
YHR169W	15	4	17	39
YHR170W	47	57	81	171
YHR171W	47	47	16	36
YHR172W	40	20	16	27
YHR173C	7	1	1	3
YHR174W	3798	11134	5857	8504
YHR175W	43	43	35	48
YHR175W-A	9	8	3	11
YHR176W	56	22	9	16
YHR177W	38	17	16	12
YHR178W	46	30	29	37
YHR179W	323	518	196	332
YHR180W	22	9	10	10
YNCH0015W	0	0	0	0
YHR181W	30	38	21	38
YHR182W	37	25	21	37
YHR183W	1080	860	548	683
YHR184W	2	3	2	1
YHR185C	0	0	0	0
YNCH0016C	0	0	0	0
YHR186C	60	54	55	86
YHR187W	31	15	20	36
YHR188C	145	137	97	152
YHR189W	16	16	16	9
YHR190W	458	397	292	372
YHR191C	27	23	10	25
YHR192W	29	37	23	45
YHR193C	247	474	459	615
YHR194W	38	36	28	45
YHR195W	118	111	77	101
YHR196W	15	8	21	74
YHR197W	19	15	44	55
YHR198C	111	80	48	76
YHR199C	115	64	45	80
YHR199C-A	14	6	3	6
YHR200W	177	171	98	172
YHR201C	65	90	65	96
YHR202W	51	31	25	43
YHR203C	358	790	1280	2112
YHR204W	39	26	40	66
YHR205W	118	77	74	108
YHR206W	45	40	43	64
YHR207C	59	45	32	49
YHR208W	234	1169	479	697
YHR209W	45	47	36	38
YHR210C	22	13	15	25
YHR211W	53	18	23	32
YHR212W-A	0	0	1	0
YHR213W	2	0	4	2
YHR213W-A	1	0	0	2
YHR213W-B	3	0	1	4
YHR214W	18	10	6	18
YHR214C-B	111	295	132	225
YHR214C-C	0	0	0	0
YHR214C-D	0	0	0	0
YHR214C-E	1	0	0	0
YHR215W	19	24	26	48
YHR216W	52	65	72	92
YHR218W	39	31	25	23
YHR219W	95	50	33	57
YIL177C	222	112	114	145
YIL176C	2	0	0	0
YIL175W	0	0	0	0
YIL174W	0	0	0	0
YIL173W	31	32	43	55
YIL172C	15	7	3	5
YIL171W	3	1	2	0
YIL170W	13	4	8	9
YIL169C	311	233	232	243
YIL166C	25	8	7	17
YIL165C	27	16	10	18
YIL164C	42	22	15	17
YIL163C	2	5	1	3
YIL162W	672	376	263	199
YIL161W	22	27	31	40
YIL160C	29	10	5	6
YIL159W	19	8	11	28
YIL158W	20	21	20	26
YIL157C	67	72	40	47
YIL156W-B	28	36	20	14
YIL156W	52	61	32	49
YIL155C	1019	704	416	398
YIL154C	100	87	58	57
YIL153W	75	60	49	64
YIL152W	23	14	15	24
YIL151C	74	64	45	61
YIL150C	16	14	6	15
YIL149C	126	140	130	192
YIL148W	251	556	881	1162
YIL147C	69	68	59	73
YIL146C	59	26	20	30
YIL145C	34	56	50	56
YIL144W	53	37	40	54
YIL143C	128	104	87	128
YIL142W	205	240	188	296
YIL140W	74	45	38	50
YIL139C	8	11	12	14
YIL138C	87	73	57	72
YIL137C	132	126	109	128
YIL136W	1078	765	287	314
YIL135C	69	67	58	82
YIL134C-A	0	0	0	0
YNCI0001W	9	0	7	17
YIL134W	11	32	21	31
