conA_rep1.sam	conA_rep2.sam	conB_rep1.sam	conB_rep2.sam
YBR063C	24	21	17	25
YBR065C	18	6	12	26
YBR066C	25	31	22	38
YBR067C	144	133	70	93
YBR068C	55	344	337	549
YBR069C	0	0	0	0
YNCB0014W	0	1	0	1
YBR070C	19	13	14	25
YBR071W	43	35	29	50
YBR072W	818	370	43	53
YBR072C-A	0	0	0	0
YBR073W	107	99	84	128
YBR074W	54	53	60	82
YBR076W	4	7	4	10
YBR077C	44	32	25	45
YBR078W	842	827	627	844
YBR079C	135	200	350	551
YBR080C	175	169	110	150
YBR081C	69	77	75	103
YNCB0015W	0	0	0	0
YNCB0016W	0	0	0	0
YBR082C	300	333	200	272
YBR083W	155	162	135	170
YBR084W	90	153	277	395
YBR084C-A	349	714	1133	1732
YBR085W	2	1	1	4
YBR085C-A	189	173	115	140
YBR086C	415	336	221	304
YBR087W	46	42	40	56
YBR088C	34	39	44	51
YBR089C-A	69	56	21	29
YBR090C	1	0	0	2
YBR091C	11	8	13	15
YBR092C	17	7	6	19
YBR093C	7	2	3	5
YBR094W	78	80	52	58
YBR095C	41	34	32	48
YBR096W	52	77	50	63
YBR097W	54	40	36	49
YBR098W	47	15	20	36
YBR101C	239	197	139	278
YBR102C	90	74	63	93
YBR103W	73	40	39	60
YBR104W	13	17	16	28
YBR105C	96	108	102	142
YBR106W	133	219	183	247
YBR107C	26	11	15	23
YBR108W	112	112	77	92
YBR109C	164	158	140	178
YBR110W	63	62	46	77
YBR111C	143	218	103	134
YBR111W-A	15	19	17	14
YBR112C	190	173	193	215
YBR114W	68	63	50	82
YBR115C	324	557	102	171
YBR117C	78	23	16	14
YBR118W	5000	8634	9001	13536
YBR119W	46	32	40	59
YBR120C	37	33	24	13
YBR121C	246	470	405	585
YBR122C	68	61	36	37
YBR123C	59	43	44	50
YBR125C	39	53	26	44
YBR126C	2193	1804	1060	1357
YBR126W-A	91	105	73	90
YBR127C	514	565	447	546
YBR128C	9	8	6	14
YBR129C	26	18	18	24
YBR130C	50	60	70	73
YBR131W	17	16	15	16
YBR132C	108	162	75	82
YBR133C	105	82	54	92
YBR135W	12	17	27	34
YBR136W	69	49	36	53
YBR137W	76	47	26	41
YBR138C	39	27	13	24
YBR139W	400	294	133	173
YBR140C	152	119	104	114
YBR141C	11	7	9	20
YBR142W	31	48	89	140
YBR143C	119	163	188	274
YBR144C	0	0	0	1
YBR145W	29	392	19	30
YBR146W	101	84	60	72
YBR147W	52	53	9	15
YBR148W	8	6	4	9
YBR149W	600	402	228	256
YBR150C	66	64	43	60
YBR151W	184	161	130	163
YBR152W	6	9	6	11
YBR153W	14	19	16	23
YBR154C	35	41	68	107
YBR155W	15	20	19	23
YBR156C	36	20	31	33
YBR157C	15	13	23	23
YBR158W	84	111	109	170
YBR159W	113	120	133	167
YBR160W	67	63	54	54
YBR161W	23	24	34	41
YBR162C	471	480	366	482
YBR162W-A	31	45	40	46
YBR163W	35	16	15	32
YBR164C	56	65	44	73
YBR165W	29	18	26	25
YBR166C	43	44	49	62
YBR167C	27	18	23	16
YBR168W	33	23	23	32
YBR169C	565	429	158	236
YBR170C	126	110	69	91
YBR171W	50	46	41	51
YBR172C	49	43	74	126
YBR173C	79	118	67	91
YBR175W	24	9	20	50
YBR176W	23	23	16	20
YBR177C	496	378	252	326
YBR179C	65	76	54	72
YBR180W	2	1	5	2
YBR181C	350	834	1344	2041
YBR182C	11	4	9	9
YBR182C-A	2	0	0	0
YBR183W	165	128	129	169
YBR184W	9	1	3	6
YBR185C	38	49	21	24
YBR186W	12	2	2	4
YBR187W	67	56	87	144
YBR188C	20	13	9	17
YBR189W	273	566	1245	2078
YBR191W	251	563	914	1331
YBR192W	22	24	22	41
YBR193C	40	28	22	30
YBR194W	12	7	4	15
YBR195C	22	12	14	23
YBR196C	911	1596	857	1202
YBR196C-A	1	0	1	2
YBR196C-B	4	0	2	0
YBR197C	22	25	21	29
YBR198C	87	90	98	124
YBR199W	195	189	150	200
YBR200W	59	62	49	59
YBR200W-A	0	0	0	0
YBR201W	24	38	18	24
YBR201C-A	2	4	2	6
YBR202W	38	40	49	68
YBR203W	104	90	100	99
YBR204C	77	57	25	43
YBR205W	87	98	74	119
YBR207W	98	85	66	92
YBR208C	199	818	80	107
YBR209W	5	3	1	1
YNCB0017C	3	0	0	1
YNCB0018W	0	0	0	0
YBR210W	13	15	19	23
YBR211C	21	21	26	29
YBR212W	249	206	157	188
YBR213W	11	5	7	5
YBR214W	423	436	222	290
YBR215W	53	41	34	53
YBR216C	68	60	42	64
YBR217W	15	4	5	8
YBR218C	342	898	357	427
YBR219C	0	0	0	0
YBR220C	40	30	34	70
YBR221C	394	458	331	459
YBR221W-A	2	2	3	1
YBR222C	101	102	60	79
YBR223C	33	40	21	34
YBR225W	68	51	52	73
YBR227C	42	69	39	67
YBR228W	17	18	13	14
YBR229C	84	92	70	76
YBR230C	223	188	123	141
YBR230W-A	14	17	17	10
YNCB0019C	8	4	7	4
YBR231C	33	32	28	36
YBR233W	46	36	37	41
YBR233W-A	7	6	7	14
YBR234C	171	204	131	193
