"","logFC","logCPM","PValue","FDR"
"YPL123C",-1.05572510945012,6.63699896281051,0.000204668743286762,0.00436403883644916
"YLR299W",-1.0452693627853,7.44170303881761,0.000221232278120639,0.00462286968360887
"YCL049C",-1.09268674503408,6.08087777791296,0.000228461192998941,0.00472978921650395
"YFR017C",-1.08047763184709,7.80524412662277,0.000229065212820731,0.00472978921650395
"YNL239W",-1.32683970613229,7.66441892255371,0.000232681936470664,0.00473679367783546
"YIL136W",-1.49557015252547,9.62933060574861,0.000239739691421409,0.0048355218068936
"YER004W",-1.07455158819534,6.99049897562385,0.000267804979560454,0.00536020388208357
"YJR109C",-2.95915319909795,8.09090932884086,0.000269507881589467,0.00537369913520372
"YER091C",-2.12981550200644,9.61765520833528,0.000277495181838135,0.00548476366410435
"YPR184W",-1.57132259315242,9.94680911042539,0.000285038717311311,0.00557693730050295
"YBL015W",-1.40076409638995,8.96493713413537,0.000286959436833738,0.0055935675299233
"YMR107W",-2.39890072561424,3.99113520987469,0.000301749714890509,0.00582142041605855
"YKL087C",-1.08908477685106,6.49211105794502,0.000323442696403853,0.00618924778759607
"YJL163C",-1.10958148595491,6.1776352779859,0.000329861195327119,0.00624345972604663
"YBL064C",-1.23551377962085,8.11688168061577,0.00033433625939142,0.00630531631429884
"YOL126C",-1.00248838931576,7.12619546022297,0.000368055697359729,0.00679407407423047
"YDR258C",-1.38703192674883,10.0773943409156,0.000386998920408938,0.00707393888091453
"YDR178W",-1.1237717369474,7.87749924197944,0.00038888601902752,0.00707393888091453
"YFL021W",-1.01161959869276,7.12547163522864,0.000400761798604282,0.00721924012382333
"YBR251W",-1.02939001991274,5.86029222932734,0.000403468146485815,0.00724301579808213
"YKL091C",-1.04098762076927,7.59098178722086,0.000405371552628091,0.00725226366756558
"YLR327C",-1.44892919272391,9.23965471974583,0.000412942468422644,0.00731585624671899
"YFR053C",-1.52034430635137,12.288329254608,0.000413196816934222,0.00731585624671899
